stdPYR
[0.00127293 0.00231221 0.00044689]
stdR
[[0.00363627 0.00199613 0.00040995]]
stdP
[[0.00014802 0.0001276  0.0004369 ]]
meanPYR
[-0.00412181 -0.02563252  3.13763317]
numb. data points
139
Position
[[ 0.0206473  -0.06321082  0.75108176]
 [ 0.02064351 -0.06320309  0.75086005]
 [ 0.0206156  -0.0632205   0.75110685]
 [ 0.02061771 -0.06321029  0.75095008]
 [ 0.02061514 -0.06322323  0.75107457]
 [ 0.02062252 -0.06322344  0.75091724]
 [ 0.02060401 -0.06321018  0.75093676]
 [ 0.02060125 -0.06321293  0.75083996]
 [ 0.02058534 -0.06321371  0.75083081]
 [ 0.02058854 -0.06322679  0.75078989]
 [ 0.02057021 -0.06322362  0.75083157]
 [ 0.02055123 -0.06324294  0.75086735]
 [ 0.02054852 -0.06324093  0.75073762]
 [ 0.02052561 -0.06324078  0.75073267]
 [ 0.02050864 -0.06322693  0.75049289]
 [ 0.02049838 -0.06326746  0.75070713]
 [ 0.02050783 -0.06325103  0.75060957]
 [ 0.02047474 -0.06323143  0.75055203]
 [ 0.02045736 -0.06326959  0.7506495 ]
 [ 0.02046347 -0.06325462  0.7504406 ]
 [ 0.02045304 -0.06324815  0.7504027 ]
 [ 0.02044602 -0.06325827  0.75050972]
 [ 0.02042821 -0.06323647  0.75028127]
 [ 0.02042961 -0.06326539  0.75051321]
 [ 0.02041509 -0.06324712  0.75019293]
 [ 0.02040598 -0.06324986  0.75022731]
 [ 0.02038397 -0.06325165  0.75030135]
 [ 0.02038007 -0.06325212  0.75016089]
 [ 0.02036194 -0.06324945  0.75013959]
 [ 0.02036125 -0.06325014  0.75016498]
 [ 0.0203624  -0.06327155  0.75018083]
 [ 0.0203427  -0.06326029  0.75018854]
 [ 0.02031864 -0.06317216  0.74994763]
 [ 0.0203646  -0.06308954  0.75025011]
 [ 0.02036149 -0.06310346  0.75024268]
 [ 0.02034956 -0.06309034  0.75005281]
 [ 0.02035631 -0.063099    0.75022091]
 [ 0.02034719 -0.0630984   0.75016441]
 [ 0.02035071 -0.06310025  0.75006894]
 [ 0.02032555 -0.06308716  0.74993961]
 [ 0.02032487 -0.06310122  0.7500457 ]
 [ 0.02031173 -0.06311878  0.7501298 ]
 [ 0.02030493 -0.06311177  0.7500477 ]
 [ 0.02030368 -0.06311551  0.74998305]
 [ 0.02029895 -0.06310589  0.74990732]
 [ 0.02029512 -0.06312854  0.7500913 ]
 [ 0.02028208 -0.06310491  0.74989615]
 [ 0.02028321 -0.06312336  0.74994917]
 [ 0.02026898 -0.06314317  0.75005229]
 [ 0.0202665  -0.06312666  0.74989589]
 [ 0.0202674  -0.06312637  0.74991188]
 [ 0.02027096 -0.06313216  0.74976328]
 [ 0.0202539  -0.06315362  0.75006028]
 [ 0.02026582 -0.06316161  0.74993114]
 [ 0.02024938 -0.0631269   0.74966721]
 [ 0.02025134 -0.06315213  0.74989578]
 [ 0.02023853 -0.06315988  0.74998465]
 [ 0.02023873 -0.06313445  0.74961505]
 [ 0.02022919 -0.06316104  0.74971165]
 [ 0.02023684 -0.06317657  0.74989188]
 [ 0.02024457 -0.06317641  0.74983698]
 [ 0.02024607 -0.06317689  0.74982427]
 [ 0.02023419 -0.06317465  0.74963487]
 [ 0.02022437 -0.06316846  0.74978454]
 [ 0.02022949 -0.06317998  0.74957659]
 [ 0.02021998 -0.06319055  0.74978855]
 [ 0.02022435 -0.06318763  0.7497704 ]
 [ 0.02021933 -0.06317778  0.74961322]
 [ 0.02022495 -0.06319867  0.74985383]
 [ 0.02021516 -0.06320382  0.74969512]
 [ 0.02020329 -0.06319698  0.74968232]
 [ 0.02020143 -0.06321137  0.74970982]
 [ 0.02019635 -0.06322661  0.7498359 ]
 [ 0.02020588 -0.06320139  0.74948403]
 [ 0.02019467 -0.06322818  0.7496172 ]
 [ 0.02018153 -0.06324821  0.74972294]
 [ 0.02021003 -0.06327618  0.74982792]
 [ 0.02020102 -0.06326608  0.74979043]
 [ 0.02018327 -0.06324031  0.74959563]
 [ 0.02019016 -0.06325845  0.74954986]
 [ 0.02018771 -0.0632568   0.74954516]
 [ 0.02018223 -0.06326028  0.74954345]
 [ 0.02018282 -0.06326129  0.74958469]
 [ 0.02018943 -0.06329307  0.74954539]
 [ 0.02018306 -0.06328226  0.74960929]
 [ 0.02017432 -0.06328615  0.74964867]
