stdPYR
[0.00082714 0.00125463 0.00014013]
stdR
[[0.00192982 0.00121261 0.0005456 ]]
stdP
[[1.52229708e-04 1.03750558e-04 9.92237812e-05]]
meanPYR
[-0.45545701 -0.0540962  -3.13847743]
numb. data points
146
Position
[[ 0.02605717 -0.03299792  0.77425992]
 [ 0.02604234 -0.03301127  0.77437665]
 [ 0.02604714 -0.03297949  0.77411947]
 [ 0.02604565 -0.03299007  0.77418902]
 [ 0.02602773 -0.03298769  0.77419818]
 [ 0.02603628 -0.03298269  0.77407592]
 [ 0.02601364 -0.03300571  0.77430397]
 [ 0.02602884 -0.03300069  0.77419784]
 [ 0.02599499 -0.03298379  0.7741824 ]
 [ 0.02599716 -0.03299895  0.77412434]
 [ 0.02598584 -0.03298752  0.7741332 ]
 [ 0.02595215 -0.03299515  0.77419113]
 [ 0.02595325 -0.03303244  0.77424482]
 [ 0.02593465 -0.03300832  0.77426235]
 [ 0.02593164 -0.03300718  0.77417592]
 [ 0.02592562 -0.03301876  0.77414297]
 [ 0.02590229 -0.03296706  0.77411217]
 [ 0.02588081 -0.03301144  0.77416912]
 [ 0.02587899 -0.03300374  0.77416795]
 [ 0.02586968 -0.03299294  0.7741077 ]
 [ 0.02585145 -0.03296252  0.77420126]
 [ 0.02586869 -0.03293401  0.77405854]
 [ 0.02586353 -0.03294114  0.77408287]
 [ 0.02584105 -0.03289236  0.77407337]
 [ 0.0258474  -0.0328098   0.7739731 ]
 [ 0.0258407  -0.03281941  0.77393693]
 [ 0.02583158 -0.03285207  0.77401098]
 [ 0.02582161 -0.03281692  0.77391391]
 [ 0.02580731 -0.03282826  0.77395257]
 [ 0.02580783 -0.0328593   0.77398159]
 [ 0.02578155 -0.03288241  0.77413347]
 [ 0.02579055 -0.03286     0.77398275]
 [ 0.02576411 -0.0328697   0.77409468]
 [ 0.02576726 -0.03283535  0.77382495]
 [ 0.02574859 -0.03287486  0.77407992]
 [ 0.02575178 -0.03287568  0.77403186]
 [ 0.02574614 -0.03289345  0.77405597]
 [ 0.02572469 -0.03288714  0.77403194]
