stdPYR
[0.00032615 0.00038471 0.00012021]
stdR
[[0.00060931 0.00048844 0.00018548]]
stdP
[[1.71951398e-04 6.25611827e-05 7.97441992e-05]]
meanPYR
[-0.60907313 -0.05860578 -3.13679976]
numb. data points
204
Position
[[ 0.02718633 -0.02226648  0.78510519]
 [ 0.02718136 -0.02221506  0.78491852]
 [ 0.02718829 -0.02223212  0.78482661]
 [ 0.02718471 -0.0222212   0.78478671]
 [ 0.02717164 -0.02223811  0.78490916]
 [ 0.02715787 -0.02224865  0.78502615]
 [ 0.02715839 -0.02225346  0.78492583]
 [ 0.02715106 -0.02226426  0.78501569]
 [ 0.02715563 -0.02225281  0.78491725]
 [ 0.02713241 -0.02229399  0.78499891]
 [ 0.02711535 -0.02228512  0.78495425]
 [ 0.02710674 -0.02230235  0.78499492]
 [ 0.02709751 -0.0223295   0.78493779]
 [ 0.02709522 -0.02229457  0.78487227]
 [ 0.02708369 -0.0223174   0.78496592]
 [ 0.02706194 -0.02234323  0.78495295]
 [ 0.02704042 -0.02235223  0.78509833]
 [ 0.02703844 -0.02233992  0.78503444]
 [ 0.02701861 -0.02232568  0.78504283]
 [ 0.02699473 -0.02234464  0.78505864]
 [ 0.02700361 -0.02233612  0.78485952]
 [ 0.02700063 -0.02231137  0.78497899]
 [ 0.02698303 -0.02232646  0.78508554]
 [ 0.02697641 -0.02232214  0.7849541 ]
 [ 0.0269675  -0.02236105  0.7851011 ]
 [ 0.02696322 -0.02233191  0.78492405]
 [ 0.02694895 -0.02232821  0.78505364]
 [ 0.0269262  -0.02233167  0.78498791]
 [ 0.02693013 -0.02231786  0.78493111]
 [ 0.02692489 -0.0223222   0.78499047]
 [ 0.02691956 -0.02233882  0.78499397]
 [ 0.0269177  -0.02228502  0.78482129]
 [ 0.02689136 -0.02232008  0.78503247]
 [ 0.02688356 -0.02232057  0.78506622]
 [ 0.02687691 -0.02231314  0.78501235]
 [ 0.02687503 -0.02229725  0.78491998]
 [ 0.0268669  -0.02229131  0.78484872]
 [ 0.02685281 -0.02230665  0.78491255]
 [ 0.02684262 -0.02230114  0.78505605]
 [ 0.02684149 -0.02233382  0.78500952]
 [ 0.02683933 -0.02233405  0.78501505]
 [ 0.02682308 -0.02229977  0.78496194]
 [ 0.02682659 -0.02229445  0.78481433]
 [ 0.02681097 -0.02232521  0.78495854]
 [ 0.02681712 -0.02231888  0.78493415]
 [ 0.02680332 -0.02230725  0.78495292]
 [ 0.02681226 -0.02230083  0.78487897]
 [ 0.02679028 -0.02230071  0.78491225]
 [ 0.02680029 -0.02229193  0.78486536]
 [ 0.02679345 -0.0222974   0.78483374]
 [ 0.02678024 -0.02231511  0.7848256 ]
 [ 0.02679662 -0.02232773  0.78488638]
 [ 0.02678851 -0.02230229  0.78476791]
 [ 0.02676445 -0.0223065   0.78491871]
 [ 0.02676034 -0.02232754  0.78487614]
 [ 0.02676023 -0.02230893  0.78489743]
 [ 0.02675999 -0.02231586  0.78501648]
 [ 0.02674782 -0.02231091  0.78492077]
 [ 0.02674691 -0.02230954  0.78485459]
 [ 0.02673622 -0.02228253  0.78489328]
 [ 0.02673736 -0.02226713  0.78481989]
 [ 0.02673098 -0.02228895  0.7849872 ]
 [ 0.02674128 -0.02228834  0.78488931]
 [ 0.02673895 -0.02227214  0.78483255]
 [ 0.02673795 -0.02225801  0.78473244]
 [ 0.02671607 -0.02226948  0.78491766]
 [ 0.02671686 -0.02224373  0.78488199]
 [ 0.02671696 -0.022244    0.78477969]
 [ 0.02670846 -0.0222731   0.78494103]
 [ 0.02670808 -0.02224726  0.78490845]
 [ 0.02670492 -0.02224002  0.78493651]
 [ 0.02669723 -0.02224072  0.78492613]
 [ 0.02670805 -0.02222839  0.78489393]
 [ 0.02670665 -0.02221891  0.78480031]
 [ 0.02669193 -0.02223128  0.78493624]
 [ 0.02668316 -0.02221563  0.78485079]
 [ 0.02669233 -0.02223138  0.78495075]
 [ 0.02668621 -0.02222715  0.78495354]
 [ 0.02667563 -0.02224804  0.78507665]
 [ 0.02669706 -0.02220667  0.78484872]
 [ 0.02668867 -0.02218042  0.78482671]
 [ 0.02668424 -0.02221281  0.78494349]
 [ 0.02669841 -0.02219037  0.78476858]
 [ 0.02667631 -0.02218172  0.78481589]
 [ 0.02667105 -0.02220717  0.78495076]
 [ 0.02666393 -0.02215982  0.78494617]
 [ 0.02667327 -0.02217499  0.78491785]
 [ 0.02666353 -0.02218797  0.78493789]
 [ 0.02666042 -0.02219058  0.7850765 ]
 [ 0.02667515 -0.02217701  0.78483568]
 [ 0.0266632  -0.02215349  0.78485912]
 [ 0.02666426 -0.02216077  0.78487956]
 [ 0.02665668 -0.02215002  0.78492771]
 [ 0.02665124 -0.02214889  0.78497545]
 [ 0.02666318 -0.02217096  0.78493529]
 [ 0.02665716 -0.02215067  0.78489755]
 [ 0.02664186 -0.02214931  0.78498781]
 [ 0.02665341 -0.0221342   0.78489476]
 [ 0.02666033 -0.0221387   0.78493015]
 [ 0.02665956 -0.02215164  0.78493584]
 [ 0.02665363 -0.02213695  0.78483573]
 [ 0.02664781 -0.02212116  0.78484038]
 [ 0.02663313 -0.02212818  0.78502644]
 [ 0.02663849 -0.02212338  0.78493339]
 [ 0.02663865 -0.02215202  0.78497859]
 [ 0.02664806 -0.02212678  0.78499801]
