stdPYR
[0.00031903 0.00051407 0.00010146]
stdR
[[0.00076941 0.00047502 0.00024447]]
stdP
[[1.89552692e-04 3.22401034e-05 1.34192864e-04]]
meanPYR
[-0.6932635  -0.05778001 -3.13686601]
numb. data points
149
Position
[[ 0.02854542 -0.01716934  0.79169998]
 [ 0.02853487 -0.01714806  0.79169654]
 [ 0.02853112 -0.01715161  0.7916553 ]
 [ 0.02852068 -0.01717257  0.79165913]
 [ 0.02853575 -0.01718295  0.79161184]
 [ 0.02853131 -0.0171804   0.79169388]
 [ 0.02852001 -0.01722105  0.79167709]
 [ 0.02849474 -0.01719167  0.79166179]
 [ 0.02849624 -0.01717845  0.79171947]
 [ 0.02849932 -0.01715695  0.7914533 ]
 [ 0.02847757 -0.01716162  0.79166283]
 [ 0.02848635 -0.01711625  0.79141832]
 [ 0.02844236 -0.01712116  0.79175081]
 [ 0.02844806 -0.01709855  0.79166526]
 [ 0.02842936 -0.01709878  0.7915674 ]
 [ 0.02838811 -0.01709909  0.79163553]
 [ 0.02834053 -0.01711827  0.79172224]
 [ 0.02831135 -0.01710905  0.79158638]
 [ 0.02830159 -0.01712408  0.79144966]
 [ 0.02828476 -0.01712326  0.79144194]
 [ 0.02822471 -0.01714718  0.79168132]
 [ 0.02821864 -0.01712448  0.79157317]
 [ 0.02819286 -0.01713901  0.79169526]
 [ 0.02817931 -0.01713247  0.79164695]
 [ 0.02818599 -0.01712972  0.79153282]
 [ 0.0281741  -0.01712448  0.79153159]
 [ 0.02815279 -0.01712739  0.79160225]
 [ 0.02816043 -0.01713181  0.79154156]
 [ 0.02814046 -0.01714675  0.79163778]
 [ 0.02814067 -0.01714714  0.79164126]
 [ 0.02813401 -0.01715148  0.79179048]
 [ 0.02813534 -0.01713621  0.79159695]
 [ 0.02811949 -0.01714225  0.79171843]
 [ 0.02810543 -0.01715207  0.79169099]
 [ 0.02808729 -0.01714717  0.79175833]
 [ 0.02808507 -0.01712618  0.79166259]
 [ 0.0280878  -0.01712806  0.79162794]
 [ 0.02808522 -0.01712857  0.79159626]
 [ 0.02807168 -0.01716173  0.79186983]
 [ 0.02807913 -0.01714918  0.79158642]
 [ 0.02807099 -0.01715622  0.79175271]
 [ 0.02806982 -0.01712748  0.79178835]
 [ 0.02805118 -0.01714979  0.79182337]
 [ 0.02805485 -0.01714519  0.79181155]
 [ 0.02806548 -0.0171308   0.79160704]
 [ 0.02805134 -0.01714309  0.79182658]
 [ 0.02804153 -0.01713927  0.79170022]
 [ 0.02805466 -0.01715065  0.79165471]
 [ 0.02804654 -0.01710923  0.7916986 ]
 [ 0.02805446 -0.01712224  0.79159402]
 [ 0.02803033 -0.01710991  0.79184868]
 [ 0.02803799 -0.01715145  0.79180665]
 [ 0.02804201 -0.01714979  0.79176813]
 [ 0.02803354 -0.01712675  0.79177256]
 [ 0.02803747 -0.01714678  0.79189368]
 [ 0.02803818 -0.01713097  0.79174605]
 [ 0.02802942 -0.01712721  0.7918115 ]
 [ 0.02799797 -0.01712984  0.79201428]
 [ 0.02800481 -0.01712799  0.79185878]
 [ 0.02800502 -0.01712901  0.79185157]
 [ 0.02799429 -0.01713744  0.79184626]
 [ 0.02798809 -0.01714118  0.79181817]
 [ 0.02799888 -0.01712159  0.7917639 ]
