stdPYR
[0.00030284 0.00029058 0.00010083]
stdR
[[0.00029032 0.00030556 0.00010866]]
stdP
[[8.51467347e-05 1.46176544e-05 3.42067021e-05]]
meanPYR
[0.04824607 0.03955393 0.4098705 ]
numb. data points
182
Position
[[-0.08043047 -0.00894292  0.38490231]
 [-0.08041785 -0.00895294  0.3848075 ]
 [-0.08042243 -0.00896456  0.38476613]
 [-0.08043486 -0.00895248  0.38482044]
 [-0.08042862 -0.00896046  0.38478428]
 [-0.08043658 -0.00895437  0.38481153]
 [-0.08043258 -0.00896355  0.38475178]
 [-0.08043464 -0.00896257  0.38479092]
 [-0.08044154 -0.00897103  0.38478533]
 [-0.08045082 -0.00897266  0.38475072]
 [-0.0804407  -0.00897651  0.38473929]
 [-0.0804586  -0.00897271  0.38477106]
 [-0.08046351 -0.00898142  0.38476731]
 [-0.08046692 -0.00899208  0.38472681]
 [-0.08047751 -0.00898196  0.3847347 ]
 [-0.08048157 -0.00898876  0.38469895]
 [-0.08048115 -0.00899396  0.38474402]
 [-0.08049526 -0.00898861  0.38476047]
 [-0.08049288 -0.00899628  0.38471609]
 [-0.08049829 -0.00899913  0.38474224]
 [-0.08050875 -0.00900503  0.38471956]
 [-0.08051245 -0.00900154  0.38470711]
 [-0.08051601 -0.00899507  0.38473646]
 [-0.08052514 -0.00900304  0.38472906]
 [-0.08052769 -0.00899778  0.38469728]
 [-0.0805279  -0.00899865  0.38469845]
 [-0.08053918 -0.00900226  0.38474319]
 [-0.08052799 -0.00900475  0.38471319]
 [-0.08054528 -0.0090045   0.3847076 ]
 [-0.0805507  -0.00899883  0.38474604]
 [-0.08055996 -0.00899883  0.38471316]
 [-0.08056043 -0.00899852  0.38473585]
 [-0.08056245 -0.00899981  0.38470098]
 [-0.08055978 -0.00900632  0.38471845]
 [-0.08056579 -0.00899704  0.38471624]
 [-0.08056576 -0.00900541  0.38474392]
 [-0.08056461 -0.00900478  0.38471584]
 [-0.08057539 -0.00900403  0.38470038]
 [-0.08057469 -0.00900163  0.38469047]
 [-0.08058542 -0.00900293  0.38467362]
 [-0.08058666 -0.00899936  0.38475147]
 [-0.08058376 -0.00899628  0.3847164 ]
 [-0.08059173 -0.00899756  0.3847081 ]
 [-0.08060132 -0.00899285  0.38475678]
 [-0.08059416 -0.00900151  0.38472161]
 [-0.08060033 -0.00899734  0.38469874]
 [-0.08060207 -0.0089944   0.38466035]
